word,count
一毫,2
偉大,2
並非,2
湊巧,3
～,6
握,4
手握,4
或許,2
渺小,4
絕不逃,2
夜晚,2
星辰,1
高調,1
閃耀,1
許是,2
喔,6
候鳥,1
自由,4
飛得,1
高,1
流浪,1
有過,1
客套,1
捍衛僅,1
之前,1
抱,1
逆流,1
人潮,1
美妙,1
徒勞,1
愛並,1
非,1
以為,1
見陽光,1
想起,1
早已,4
忽然,1
全,1
故障,1
心永遠,1
漆黑,1
晚上,1
還沒,1
還沒實,1
現過,1
只能,2
暫時,1
照片,1
裡你,1
龐,1
轉眼變,1
樣,1
底片,1
光變,1
一片空白,1
更新,1
近況,2
刪除,1
模樣,3
取代,1
身旁,3
不願意,3
看穿,2
若,4
問起,2
怎樣,2
想像,2
吃,4
晚餐,1
標本,1
一樣,2
眼前,1
假象,1
死亡,1
編造,1
描繪,1
往常,1
理解,1
武裝,1
懷疑,1
堅強,1
正視,1
荒唐,1
沒受,1
過傷,1
痛一個,1
人承擔,1
揭穿,1
懲罰,4
喝純白,1
豆漿,5
純白,1
望著,1
可愛臉,1
蛋,1
純,1
傻傻,1
憂愁,1
油條,3
味道,2
傻笑,2
淡掉,2
吵吵,2
鬧鬧,2
但始終,2
只有,4
開油條,2
愛你愛到,2
幸福美好,2
好不好,3
別偷,3
笑笑,3
喝完,1
熱豆漿,1
卻念,1
著還,1
完金黃油,1
條愛情,1
發酵,1
創傷,1
卡,1
咽喉,1
滴,1
枕頭,1
痛,1
盡頭,1
無人訴,1
還沒作,1
已成,1
空,1
等到,7
翻面,2
之後會,2
新,2
白晝,2
海嘯,2
退去,2
之,2
潮起潮落,2
別到,2
心裡頭,2
野獸,2
還沒到,2
最終,2
罷休,2
人生,2
收,2
穫,2
總難免,2
角落,2
陽光,3
裂縫,3
散落,2
重來,1
心上,1
跳動,1
逐漸,2
暗下,1
夜,1
打破,1
灑滿,1
其中,1
泡沫,1
輕輕,1
碰,1
花火,1
飛機,1
穿過,1
窗口,1
我什麼,1
攤開,2
予取予求,2
直到,2
樹葉,2
甘心,2
為春風,2
吹落,2
簡簡,9
單單,9
傷過,3
不算,3
白活,3
瘋過,3
結束,3
之後心,3
淚水,1
	,24
將我,1
究竟,1
這段,1
我才終,2
明白,2
辦,2
枷鎖,2
現實,2
缺貨,2
終止,3
掙扎,3
橫了,3
謊話,3
別告訴,4
還想,4
總比,3
放下,3
當淚,3
堵住,3
不愛我,1
不痛,1
掏空,1
言不由衷,1
不讀,2
三國,5
獨自,3
下長,3
板坡,3
月光,3
太溫,3
柔,3
曹操,3
囉,3
唆,3
一心,3
拿,3
荊州,3
陰謀陽謀明,3
暗奪,3
摸,3
東漢,3
末年,3
分三國,3
連天,3
不休,3
兒女,3
情長,3
世,3
左右,3
煮,3
酒,3
爾,3
虞,3
詐,3
不清,3
與,3
紛紛,3
擾擾,3
千百年,3
從頭,3
Ｏ,2
Ｈ,2
愛是,1
個,1
絕對,1
一千年,6
放任,2
無奈淹,2
沒塵埃,2
廢墟,2
守著,2
光承載,2
深情,3
挽著,3
淺,3
額頭,3
所有人,3
那時,3
紅色,3
黃,3
昏,3
沙漠,3
解開,3
千年,4
纏繞,1
